Anime Title,Date of Release,Score,Member,Producer,Genre,Number of Episodes,Sources,Format,Licensor,Format0,Genre0,Genre1,Genre2,Genre3,Genre4,Genre Count,Licensor0,Licensor1,Licensor2
Fullmetal Alchemist: Brotherhood,"Apr 5, 2009, 17:00 (JST)",9.17,2424903,Bones,"Action,Military,Adventure,Comedy,Drama,Magic,Fantasy,Shounen",64 eps,Manga,"      TV -                        Apr 5, 2009, 17:00 (JST)              ","Aniplex of America,Funimation,",      TV ,Action,Military,Adventure,Comedy,Drama,8,Aniplex of America,Funimation,
Shingeki no Kyojin Season 3 Part 2,"Apr 29, 2019, 00:10 (JST)",9.11,1312512,Wit Studio,"Action,Drama,Fantasy,Military,Mystery,Shounen,Super Power",10 eps,Manga,"      TV -                        Apr 29, 2019, 00:10 (JST)              ","Funimation,",      TV ,Action,Drama,Fantasy,Military,Mystery,7,Funimation,,
Gintama°,"Apr 8, 2015, 18:00 (JST)",9.09,435592,Bandai Namco Pictures,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",51 eps,Manga,"      TV -                        Apr 8, 2015, 18:00 (JST)              ","Crunchyroll,Funimation,",      TV ,Action,Comedy,Historical,Parody,Samurai,7,Crunchyroll,Funimation,
Hunter x Hunter (2011),"Oct 2, 2011, 10:55 (JST)",9.08,1885151,Madhouse,"Action,Adventure,Fantasy,Shounen,Super Power",148 eps,Manga,"      TV -                        Oct 2, 2011, 10:55 (JST)              ","VIZ Media,",      TV ,Action,Adventure,Fantasy,Shounen,Super Power,5,VIZ Media,,
Gintama',"Apr 4, 2011, 18:00 (JST)",9.06,391806,Sunrise,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",51 eps,Manga,"      TV -                        Apr 4, 2011, 18:00 (JST)              ",,      TV ,Action,Sci-Fi,Comedy,Historical,Parody,7,,,
Gintama': Enchousen,"Oct 4, 2012, 18:00 (JST)",9.03,237232,Sunrise,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",13 eps,Manga,"      TV -                        Oct 4, 2012, 18:00 (JST)              ",,      TV ,Action,Comedy,Historical,Parody,Samurai,7,,,
Shingeki no Kyojin: The Final Season,"Dec 7, 2020, 00:10 (JST)",9.02,1072333,MAPPA,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen",16 eps,Manga,"      TV -                        Dec 7, 2020, 00:10 (JST)              ","Funimation,",      TV ,Action,Military,Mystery,Super Power,Drama,7,Funimation,,
Gintama,"Apr 4, 2006, 18:00 (JST)",8.95,807271,Sunrise,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",201 eps,Manga,"      TV -                        Apr 4, 2006, 18:00 (JST)              ","Crunchyroll,Sentai Filmworks,",      TV ,Action,Comedy,Historical,Parody,Samurai,7,Crunchyroll,Sentai Filmworks,
Code Geass: Hangyaku no Lelouch R2,"Apr 6, 2008, 17:00 (JST)",8.91,1352271,Sunrise,"Action,Military,Sci-Fi,Super Power,Drama,Mecha",25 eps,Original,"      TV -                        Apr 6, 2008, 17:00 (JST)              ","Bandai Entertainment,Funimation,",      TV ,Action,Military,Sci-Fi,Super Power,Drama,6,Bandai Entertainment,Funimation,
Mob Psycho 100 II,"Jan 7, 2019, 23:00 (JST)",8.83,942641,Bones,"Action,Slice of Life,Comedy,Supernatural",13 eps,Web manga,"      TV -                        Jan 7, 2019, 23:00 (JST)              ","Funimation,",      TV ,Action,Slice of Life,Comedy,Supernatural,,4,Funimation,,
Kizumonogatari III: Reiketsu-hen,"Jan 6, 2017",8.81,334741,Shaft,"Action,Mystery,Supernatural,Vampire",1 ep,Light novel,"      Movie -                        Jan 6, 2017              ",,      Movie ,Action,Mystery,Supernatural,Vampire,,4,,,
Kimetsu no Yaiba Movie: Mugen Ressha-hen,"Oct 16, 2020",8.79,525107,ufotable,"Action,Historical,Demons,Supernatural,Shounen",1 ep,Manga,"      Movie -                        Oct 16, 2020              ","Aniplex of America,",      Movie ,Action,Historical,Demons,Supernatural,Shounen,5,Aniplex of America,,
Jujutsu Kaisen (TV),"Oct 3, 2020, 01:25 (JST)",8.78,1106247,MAPPA,"Action,Demons,Supernatural,School,Shounen",24 eps,Manga,"      TV -                        Oct 3, 2020, 01:25 (JST)              ",,      TV ,Action,Demons,Supernatural,School,Shounen,5,,,
Cowboy Bebop,"Apr 3, 1998, 01:00 (JST)",8.77,1344107,Sunrise,"Action,Adventure,Comedy,Drama,Sci-Fi,Space",26 eps,Original,"      TV -                        Apr 3, 1998, 01:00 (JST)              ","Bandai Entertainment,Funimation,",      TV ,Action,Adventure,Comedy,Drama,Sci-Fi,6,Bandai Entertainment,Funimation,
Code Geass: Hangyaku no Lelouch,"Oct 6, 2006, 01:25 (JST)",8.71,1699105,Sunrise,"Action,Military,Sci-Fi,Super Power,Drama,Mecha,School",25 eps,Original,"      TV -                        Oct 6, 2006, 01:25 (JST)              ","Bandai Entertainment,Funimation,",      TV ,Action,Military,Sci-Fi,Super Power,Drama,7,Bandai Entertainment,Funimation,
Mononoke Hime,"Jul 12, 1997",8.71,933728,Studio Ghibli,"Action,Adventure,Fantasy",1 ep,Original,"      Movie -                        Jul 12, 1997              ","GKIDS,",      Movie ,Action,Adventure,Fantasy,,,3,GKIDS,,
Vinland Saga,"Jul 8, 2019, 00:10 (JST)",8.71,779924,Wit Studio,"Action,Adventure,Drama,Historical,Seinen",24 eps,Manga,"      TV -                        Jul 8, 2019, 00:10 (JST)              ",,      TV ,Action,Adventure,Drama,Historical,Seinen,5,,,
Tengen Toppa Gurren Lagann,"Apr 1, 2007, 08:30 (JST)",8.65,1280231,Gainax,"Action,Sci-Fi,Adventure,Comedy,Mecha",27 eps,Original,"      TV -                        Apr 1, 2007, 08:30 (JST)              ","ADV Films,Aniplex of America,Bandai Entertainment,",      TV ,Action,Sci-Fi,Adventure,Comedy,Mecha,5,ADV Films,Aniplex of America,Bandai Entertainment
Shingeki no Kyojin Season 3,"Jul 23, 2018, 00:35 (JST)",8.62,1448695,Wit Studio,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen",12 eps,Manga,"      TV -                        Jul 23, 2018, 00:35 (JST)              ","Funimation,",      TV ,Action,Military,Mystery,Super Power,Drama,7,Funimation,,
Kizumonogatari II: Nekketsu-hen,"Aug 19, 2016",8.61,328526,Shaft,"Action,Mystery,Supernatural,Vampire",1 ep,Light novel,"      Movie -                        Aug 19, 2016              ","Aniplex of America,",      Movie ,Action,Mystery,Supernatural,Vampire,,4,Aniplex of America,,
Kimetsu no Yaiba,"Apr 6, 2019, 23:30 (JST)",8.6,1707243,ufotable,"Action,Demons,Historical,Shounen,Supernatural",26 eps,Manga,"      TV -                        Apr 6, 2019, 23:30 (JST)              ","Aniplex of America,",      TV ,Action,Demons,Historical,Shounen,Supernatural,5,Aniplex of America,,
Fate/Zero 2nd Season,"Apr 8, 2012, 00:00 (JST)",8.59,861250,ufotable,"Action,Supernatural,Magic,Fantasy",12 eps,Light novel,"      TV -                        Apr 8, 2012, 00:00 (JST)              ","Aniplex of America,",      TV ,Action,Supernatural,Magic,Fantasy,,4,Aniplex of America,,
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Oct 6, 2018, 01:05 (JST)",8.59,615057,David Production,"Action,Adventure,Shounen",39 eps,Manga,"      TV -                        Oct 6, 2018, 01:05 (JST)              ","VIZ Media,",      TV ,Action,Adventure,Shounen,,,3,VIZ Media,,
One Punch Man,"Oct 5, 2015, 01:05 (JST)",8.55,2308824,Madhouse,"Action,Sci-Fi,Comedy,Parody,Super Power,Supernatural",12 eps,Web manga,"      TV -                        Oct 5, 2015, 01:05 (JST)              ","VIZ Media,",      TV ,Action,Sci-Fi,Comedy,Parody,Super Power,6,VIZ Media,,
One Piece,"Oct 20, 1999, 09:30 (JST)",8.54,1477477,Toei Animation,"Action,Adventure,Comedy,Super Power,Drama,Fantasy,Shounen",? eps,Manga,"      TV -                        Oct 20, 1999, 09:30 (JST)              ","4Kids Entertainment,Funimation,",      TV ,Action,Adventure,Comedy,Super Power,Drama,7,4Kids Entertainment,Funimation,
Ansatsu Kyoushitsu 2nd Season,"Jan 8, 2016, 01:25 (JST)",8.53,989574,Lerche,"Action,Comedy,School,Shounen",25 eps,Manga,"      TV -                        Jan 8, 2016, 01:25 (JST)              ","Funimation,",      TV ,Action,Comedy,School,Shounen,,4,Funimation,,
Samurai Champloo,"May 20, 2004, 10:30 (JST)",8.5,952185,Manglobe,"Action,Adventure,Comedy,Historical,Samurai,Shounen",26 eps,Original,"      TV -                        May 20, 2004, 10:30 (JST)              ","Funimation,Geneon Entertainment USA,",      TV ,Action,Adventure,Comedy,Historical,Samurai,6,Funimation,Geneon Entertainment USA,
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"Apr 2, 2016, 00:30 (JST)",8.5,704177,David Production,"Action,Adventure,Comedy,Supernatural,Drama,Shounen",39 eps,Manga,"      TV -                        Apr 2, 2016, 00:30 (JST)              ","VIZ Media,",      TV ,Action,Adventure,Comedy,Supernatural,Drama,6,VIZ Media,,
Shingeki no Kyojin,"Apr 7, 2013, 01:58 (JST)",8.5,2801951,Wit Studio,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen",25 eps,Manga,"      TV -                        Apr 7, 2013, 01:58 (JST)              ","Funimation,",      TV ,Action,Military,Mystery,Super Power,Drama,7,Funimation,,
Kenpuu Denki Berserk,"Oct 8, 1997, 01:45 (JST)",8.49,454202,OLM,"Action,Adventure,Demons,Drama,Fantasy,Horror,Military,Romance,Seinen,Supernatural",25 eps,Manga,"      TV -                        Oct 8, 1997, 01:45 (JST)              ","Media Blasters,NYAV Post,",      TV ,Action,Adventure,Demons,Drama,Fantasy,10,Media Blasters,NYAV Post,
Banana Fish,"Jul 6, 2018, 00:55 (JST)",8.49,498611,MAPPA,"Action,Adventure,Drama,Shoujo",24 eps,Manga,"      TV -                        Jul 6, 2018, 00:55 (JST)              ",,      TV ,Action,Adventure,Drama,Shoujo,,4,,,
Mob Psycho 100,"Jul 11, 2016, 00:00 (JST)",8.48,1379527,Bones,"Action,Slice of Life,Comedy,Supernatural",12 eps,Web manga,"      TV -                        Jul 11, 2016, 00:00 (JST)              ","Crunchyroll,Funimation,",      TV ,Action,Slice of Life,Comedy,Supernatural,,4,Crunchyroll,Funimation,
Shingeki no Kyojin Season 2,"Apr 1, 2017, 22:00 (JST)",8.48,1806487,Wit Studio,"Action,Military,Mystery,Super Power,Drama,Fantasy,Shounen",12 eps,Manga,"      TV -                        Apr 1, 2017, 22:00 (JST)              ","Funimation,",      TV ,Action,Military,Mystery,Super Power,Drama,7,Funimation,,
Yuu☆Yuu☆Hakusho,"Oct 10, 1992",8.45,510942,Studio Pierrot,"Action,Comedy,Demons,Supernatural,Martial Arts,Shounen",112 eps,Manga,"      TV -                        Oct 10, 1992              ","Funimation,",      TV ,Action,Comedy,Demons,Supernatural,Martial Arts,6,Funimation,,
Koukaku Kidoutai: Stand Alone Complex,"Oct 1, 2002",8.44,335584,Production I.G,"Action,Military,Sci-Fi,Police,Mecha,Seinen",26 eps,Manga,"      TV -                        Oct 1, 2002              ","Bandai Entertainment,Manga Entertainment,",      TV ,Action,Military,Sci-Fi,Police,Mecha,6,Bandai Entertainment,Manga Entertainment,
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,"Jan 10, 2015, 00:30 (JST)",8.43,709792,David Production,"Action,Adventure,Supernatural,Drama,Shounen",24 eps,Manga,"      TV -                        Jan 10, 2015, 00:30 (JST)              ","VIZ Media,",      TV ,Action,Adventure,Supernatural,Drama,Shounen,5,VIZ Media,,
Baccano!,"Jul 27, 2007, 00:30 (JST)",8.41,745020,Brain's Base,"Action,Comedy,Historical,Mystery,Supernatural",13 eps,Light novel,"      TV -                        Jul 27, 2007, 00:30 (JST)              ","Aniplex of America,Funimation,",      TV ,Action,Comedy,Historical,Mystery,Supernatural,5,Aniplex of America,Funimation,
Houseki no Kuni (TV),"Oct 7, 2017, 21:30 (JST)",8.41,325040,Orange,"Action,Drama,Fantasy,Mystery,Seinen",12 eps,Manga,"      TV -                        Oct 7, 2017, 21:30 (JST)              ","Sentai Filmworks,",      TV ,Action,Drama,Fantasy,Mystery,Seinen,5,Sentai Filmworks,,
Hunter x Hunter,"Oct 16, 1999, 18:00 (JST)",8.41,445108,Nippon Animation,"Action,Adventure,Super Power,Fantasy,Shounen",62 eps,Manga,"      TV -                        Oct 16, 1999, 18:00 (JST)              ","VIZ Media,",      TV ,Action,Adventure,Super Power,Fantasy,Shounen,5,VIZ Media,,
Shingeki no Kyojin: Kuinaki Sentaku,"Dec 9, 2014",8.4,360446,Wit Studio,"Action,Fantasy,Shoujo",2 eps,Visual novel,"      OVA -                        Dec 9, 2014              ",,      OVA ,Action,Fantasy,Shoujo,,,3,,,
Hellsing Ultimate,"Feb 10, 2006",8.39,713013,Graphinica,"Action,Military,Horror,Supernatural,Vampire,Seinen",10 eps,Manga,"      OVA -                        Feb 10, 2006              ","Funimation,Geneon Entertainment USA,",      OVA ,Action,Military,Horror,Supernatural,Vampire,6,Funimation,Geneon Entertainment USA,
Cowboy Bebop: Tengoku no Tobira,"Sep 1, 2001",8.39,287726,Bones,"Action,Drama,Mystery,Sci-Fi,Space",1 ep,Original,"      Movie -                        Sep 1, 2001              ","Sony Pictures Entertainment,",      Movie ,Action,Drama,Mystery,Sci-Fi,Space,5,Sony Pictures Entertainment,,
Tensei shitara Slime Datta Ken 2nd Season,"Jan 12, 2021, 23:00 (JST)",8.39,471997,8bit,"Action,Adventure,Comedy,Demons,Magic,Fantasy",12 eps,Light novel,"      TV -                        Jan 12, 2021, 23:00 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Demons,Magic,6,Funimation,,
Kiseijuu: Sei no Kakuritsu,"Oct 9, 2014, 01:29 (JST)",8.38,1354019,Madhouse,"Action,Sci-Fi,Horror,Psychological,Drama,Seinen",24 eps,Manga,"      TV -                        Oct 9, 2014, 01:29 (JST)              ","Sentai Filmworks,",      TV ,Action,Sci-Fi,Horror,Psychological,Drama,6,Sentai Filmworks,,
Psycho-Pass,"Oct 12, 2012, 00:45 (JST)",8.37,1286905,Production I.G,"Action,Sci-Fi,Police,Psychological,Thriller",22 eps,Original,"      TV -                        Oct 12, 2012, 00:45 (JST)              ","Funimation,",      TV ,Action,Sci-Fi,Police,Psychological,Thriller,5,Funimation,,
Katanagatari,"Jan 26, 2010, 01:10 (JST)",8.36,463568,White Fox,"Action,Adventure,Historical,Martial Arts,Romance",12 eps,Light novel,"      TV -                        Jan 26, 2010, 01:10 (JST)              ","NIS America, Inc.,",      TV ,Action,Adventure,Historical,Martial Arts,Romance,5,NIS America, Inc.,
Evangelion: 2.0 You Can (Not) Advance,"Jul 27, 2009",8.34,372985,Khara,"Action,Sci-Fi,Psychological,Drama,Mecha",1 ep,Original,"      Movie -                        Jul 27, 2009              ","Funimation,",      Movie ,Action,Sci-Fi,Psychological,Drama,Mecha,5,Funimation,,
Great Pretender,"Jun 2, 2020",8.33,354735,Wit Studio,"Action,Adventure,Mystery,Comedy,Psychological",23 eps,Original,"      ONA -                        Jun 2, 2020              ",,      ONA ,Action,Adventure,Mystery,Comedy,Psychological,5,,,
Kino no Tabi: The Beautiful World,"Apr 8, 2003, 18:30 (JST)",8.33,237280,A.C.G.T.,"Action,Adventure,Psychological,Slice of Life",13 eps,Light novel,"      TV -                        Apr 8, 2003, 18:30 (JST)              ","ADV Films,Sentai Filmworks,",      TV ,Action,Adventure,Psychological,Slice of Life,,4,ADV Films,Sentai Filmworks,
Fate/stay night: Unlimited Blade Works 2nd Season,"Apr 5, 2015, 00:00 (JST)",8.33,647185,ufotable,"Action,Fantasy,Magic,Supernatural",13 eps,Visual novel,"      TV -                        Apr 5, 2015, 00:00 (JST)              ","Aniplex of America,",      TV ,Action,Fantasy,Magic,Supernatural,,4,Aniplex of America,,
Fate/Zero,"Oct 2, 2011, 00:00 (JST)",8.33,1164893,ufotable,"Action,Supernatural,Magic,Fantasy",13 eps,Light novel,"      TV -                        Oct 2, 2011, 00:00 (JST)              ","Aniplex of America,",      TV ,Action,Supernatural,Magic,Fantasy,,4,Aniplex of America,,
Neon Genesis Evangelion,"Oct 4, 1995, 18:30 (JST)",8.32,1257694,Gainax,"Action,Sci-Fi,Dementia,Psychological,Drama,Mecha",26 eps,Original,"      TV -                        Oct 4, 1995, 18:30 (JST)              ","ADV Films,Netflix,",      TV ,Action,Sci-Fi,Dementia,Psychological,Drama,6,ADV Films,Netflix,
Rurouni Kenshin: Meiji Kenkaku Romantan,"Jan 10, 1996, 19:30 (JST)",8.31,401862,Gallop,"Action,Adventure,Comedy,Historical,Romance,Samurai,Shounen",94 eps,Manga,"      TV -                        Jan 10, 1996, 19:30 (JST)              ","Media Blasters,",      TV ,Action,Adventure,Comedy,Historical,Romance,7,Media Blasters,,
Stranger: Mukou Hadan,"Sep 29, 2007",8.3,271253,Bones,"Action,Adventure,Historical,Samurai",1 ep,Original,"      Movie -                        Sep 29, 2007              ","Bandai Entertainment,Funimation,",      Movie ,Action,Adventure,Historical,Samurai,,4,Bandai Entertainment,Funimation,
Koukaku Kidoutai,"Nov 18, 1995",8.29,488572,Production I.G,"Action,Mecha,Police,Psychological,Sci-Fi,Seinen",1 ep,Manga,"      Movie -                        Nov 18, 1995              ","Manga Entertainment,",      Movie ,Action,Mecha,Police,Psychological,Sci-Fi,6,Manga Entertainment,,
Redline,"Aug 14, 2009",8.29,278786,Madhouse,"Action,Sci-Fi,Cars,Sports",1 ep,Original,"      Movie -                        Aug 14, 2009              ","Anchor Bay Films,",      Movie ,Action,Sci-Fi,Cars,Sports,,4,Anchor Bay Films,,
Initial D First Stage,"Apr 19, 1998, 00:00 (JST)",8.28,248547,Gallop,"Action,Cars,Drama,Seinen,Sports",26 eps,Manga,"      TV -                        Apr 19, 1998, 00:00 (JST)              ","Funimation,Tokyopop,",      TV ,Action,Cars,Drama,Seinen,Sports,5,Funimation,Tokyopop,
Boku no Hero Academia 2nd Season,"Apr 1, 2017, 17:30 (JST)",8.27,1795709,Bones,"Action,Comedy,Super Power,School,Shounen",25 eps,Manga,"      TV -                        Apr 1, 2017, 17:30 (JST)              ","Funimation,",      TV ,Action,Comedy,Super Power,School,Shounen,5,Funimation,,
Magi: The Kingdom of Magic,"Oct 6, 2013, 17:00 (JST)",8.26,675288,A-1 Pictures,"Action,Adventure,Magic,Fantasy,Shounen",25 eps,Manga,"      TV -                        Oct 6, 2013, 17:00 (JST)              ","Aniplex of America,",      TV ,Action,Adventure,Magic,Fantasy,Shounen,5,Aniplex of America,,
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,"Oct 14, 2017",8.25,297652,ufotable,"Action,Fantasy,Magic,Supernatural",1 ep,Visual novel,"      Movie -                        Oct 14, 2017              ","Aniplex of America,",      Movie ,Action,Fantasy,Magic,Supernatural,,4,Aniplex of America,,
Trigun,"Apr 1, 1998, 01:15 (JST)",8.23,584539,Madhouse,"Action,Sci-Fi,Adventure,Comedy,Drama,Shounen",26 eps,Manga,"      TV -                        Apr 1, 1998, 01:15 (JST)              ","Funimation,Geneon Entertainment USA,",      TV ,Action,Sci-Fi,Adventure,Comedy,Drama,6,Funimation,Geneon Entertainment USA,
Fate/stay night: Unlimited Blade Works,"Oct 12, 2014, 00:00 (JST)",8.21,790893,ufotable,"Action,Supernatural,Magic,Fantasy",12 eps,Visual novel,"      TV -                        Oct 12, 2014, 00:00 (JST)              ","Aniplex of America,",      TV ,Action,Supernatural,Magic,Fantasy,,4,Aniplex of America,,
Dororo,"Jan 7, 2019, 22:30 (JST)",8.2,773192,MAPPA,"Action,Adventure,Demons,Historical,Samurai,Shounen,Supernatural",24 eps,Manga,"      TV -                        Jan 7, 2019, 22:30 (JST)              ","Sentai Filmworks,",      TV ,Action,Adventure,Demons,Historical,Samurai,7,Sentai Filmworks,,
Bungou Stray Dogs 2nd Season,"Oct 6, 2016, 22:30 (JST)",8.2,542646,Bones,"Action,Mystery,Super Power,Supernatural,Seinen",12 eps,Manga,"      TV -                        Oct 6, 2016, 22:30 (JST)              ","Crunchyroll,Funimation,",      TV ,Action,Mystery,Super Power,Supernatural,Seinen,5,Crunchyroll,Funimation,
Noragami Aragoto,"Oct 3, 2015, 01:05 (JST)",8.2,1116442,Bones,"Action,Adventure,Comedy,Supernatural,Shounen",13 eps,Manga,"      TV -                        Oct 3, 2015, 01:05 (JST)              ","Funimation,",      TV ,Action,Adventure,Comedy,Supernatural,Shounen,5,Funimation,,
Black Lagoon: The Second Barrage,"Oct 3, 2006, 01:59 (JST)",8.19,398785,Madhouse,"Action,Seinen",12 eps,Manga,"      TV -                        Oct 3, 2006, 01:59 (JST)              ","Funimation,Geneon Entertainment USA,",      TV ,Action,Seinen,,,,2,Funimation,Geneon Entertainment USA,
Boku no Hero Academia 3rd Season,"Apr 7, 2018, 17:30 (JST)",8.19,1511684,Bones,"Action,Comedy,Super Power,School,Shounen",25 eps,Manga,"      TV -                        Apr 7, 2018, 17:30 (JST)              ","Funimation,",      TV ,Action,Comedy,Super Power,School,Shounen,5,Funimation,,
Bungou Stray Dogs 3rd Season,"Apr 12, 2019, 22:30 (JST)",8.18,352855,Bones,"Action,Mystery,Seinen,Super Power,Supernatural",12 eps,Manga,"      TV -                        Apr 12, 2019, 22:30 (JST)              ",,      TV ,Action,Mystery,Seinen,Super Power,Supernatural,5,,,
Naruto: Shippuuden,"Feb 15, 2007, 19:30 (JST)",8.18,1700547,Studio Pierrot,"Action,Adventure,Comedy,Super Power,Martial Arts,Shounen",500 eps,Manga,"      TV -                        Feb 15, 2007, 19:30 (JST)              ","VIZ Media,",      TV ,Action,Adventure,Comedy,Super Power,Martial Arts,6,VIZ Media,,
Katekyo Hitman Reborn!,"Oct 7, 2006, 10:30 (JST)",8.17,476764,Artland,"Action,Comedy,Shounen,Super Power",203 eps,Manga,"      TV -                        Oct 7, 2006, 10:30 (JST)              ","Discotek Media,VIZ Media,",      TV ,Action,Comedy,Shounen,Super Power,,4,Discotek Media,VIZ Media,
Akira,"Jul 16, 1988",8.17,606467,Tokyo Movie Shinsha,"Action,Military,Sci-Fi,Adventure,Horror,Supernatural,Seinen",1 ep,Manga,"      Movie -                        Jul 16, 1988              ","Bandai Entertainment,Funimation,Geneon Entertainment USA,",      Movie ,Action,Military,Sci-Fi,Adventure,Horror,7,Bandai Entertainment,Funimation,Geneon Entertainment USA
Durarara!!,"Jan 8, 2010, 01:25 (JST)",8.16,1160696,Brain's Base,"Action,Mystery,Supernatural",24 eps,Light novel,"      TV -                        Jan 8, 2010, 01:25 (JST)              ","Aniplex of America,",      TV ,Action,Mystery,Supernatural,,,3,Aniplex of America,,
